Picture_Number;Name_of_the_Artist;Date;Title;Epoch_Style;Category_Name;Width_original;Height_original;Width_unified;Height_unified;Position_Horizontal_Vertical;Subset_Rated_by_Everyone;All_Liking_M;All_Liking_SD;All_Valence_M;All_Valence_SD;All_Arousal_M;All_Arousal_SD;All_Visual_Complexity_M;All_Visual_Complexity_SD;All_Familiarity_M;All_Familiarity_SD;Female_Liking_M;Female_Liking_SD;Female_Valence_M;Female_Valence_SD;Female_Arousal_M;Female_Arousal_SD;Female_Visual_Complexity_M;Female_Visual_Complexity_SD;Female_Familiarity_M;Female_Familiarity_SD;Male_Liking_M;Male_Liking_SD;Male_Valence_M;Male_Valence_SD;Male_Arousal_M;Male_Arousal_SD;Male_Visual_Complexity_M;Male_Visual_Complexity_SD;Male_Familiarity_M;Male_Familiarity_SD;Source
10111;Tizian;1515;Sacred and Profane Love;Renaissance and Mannerism;Scenes;2600;1029;1920;760;h;1;3,8;1,765;4,2;1,3219;3,5;1,3572;4,55;1,191;1,75;1,2513;4,09;1,578;4,273;1,1037;3,364;0,809;4,45;1,214;2;1,4142;3,44;2,007;4,111;1,6159;3,667;1,8708;4,67;1,225;1,444;1,0138;http://library.artstor.org
10112;Tizian;1538;Venus of Urbino;Renaissance and Mannerism;Scenes;2261;1600;1685;1200;h;0;4,85;1,348;4,95;0,9445;4,3;1,4903;4,15;1,226;2,05;1,9595;4,9;1,595;5,1;1,1005;4,4;1,7127;4,1;1,37;2,2;2,0976;4,8;1,135;4,8;0,7888;4,2;1,3166;4,2;1,135;1,9;1,912;http://library.artstor.org
10113;Aertsen, Pieter;1560;Market Scene;Renaissance and Mannerism;Scenes;1980;1600;1489;1200;h;0;3,9;1,586;4,05;1,0501;4;0,9733;4,45;0,759;2,5;2,2595;3,8;1,687;4,1;1,2867;4,1;1,1005;4,2;0,789;3,1;2,4244;4;1,563;4;0,8165;3,9;0,8756;4,7;0,675;1,9;2,0248;http://library.artstor.org
10114;Altdorfer, Albrecht;1509-16;Saint Sebastian Altar- Christ before Pilate;Renaissance and Mannerism;Scenes;1347;1600;1010;1200;v;0;3;1,338;2,65;0,7452;4,25;1,2513;5;1,026;1,95;1,6376;3,22;1,481;2,556;0,527;4,778;0,8333;5,22;0,667;1,889;1,5366;2,82;1,25;2,727;0,9045;3,818;1,4013;4,82;1,25;2;1,7889;http://library.artstor.org
10115;Altdorfer, Albrecht;1529;Battle of Issus (Alexanderschlacht);Renaissance and Mannerism;Scenes;1156;1599;871;1200;v;0;4,85;1,137;4;1,1698;5,55;1,191;6,25;1,209;1,95;1,7911;5,3;0,483;3,8;1,2293;5,4;1,4298;6,7;0,483;2,5;2,1213;4,4;1,43;4,2;1,1353;5,7;0,9487;5,8;1,549;1,4;1,2649;http://library.artstor.org
10116;Bosch, Hieronymus;1504;Triptych of the Last Judgment (Center Panel);Renaissance and Mannerism;Scenes;1244;1600;922;1200;v;0;4,25;1,618;3,75;1,1642;4,95;0,6863;6,1;1,071;3,45;2,5849;4,18;1,471;4,182;0,9816;5,182;0,7508;6;0,894;2,909;2,3002;4,33;1,871;3,222;1,2019;4,667;0,5;6,22;1,302;4,111;2,8916;http://library.artstor.org
10117;Bosch, Hieronymus;1500;The Garden of Earthly Delights (Center Panel);Renaissance and Mannerism;Scenes;1468;1600;1101;1200;v;0;4,7;1,922;4,45;1,4681;5,75;1,2085;6,15;0,988;3,6;2,6238;4,67;1,5;4,111;1,0541;5,667;1,2247;6,56;0,882;3,667;2,7386;4,73;2,284;4,727;1,7373;5,818;1,2505;5,82;0,982;3,545;2,6595;http://wikimedia.org
10118;Bruegel the Elder, Pieter;1559;The Netherlandish Proverbs (Die niederländischen Sprichwörter);Renaissance and Mannerism;Scenes;2235;1600;1676;1200;h;0;4,25;1,773;3,7;1,0311;5,45;1,0501;5,35;1,04;2,6;2,21;4,6;1,713;3,4;0,8433;5,9;0,5676;5,7;1,059;3,5;2,6771;3,9;1,853;4;1,1547;5;1,2472;5;0,943;1,7;1,1595;http://library.artstor.org
10119;Bruegel the Elder, Pieter;1562;Mad Meg (Dulle Griet);Renaissance and Mannerism;Scenes;2201;1600;1651;1200;h;0;4,4;1,818;3,4;1,3534;5;1,2566;6;1,076;2,4;1,8468;3,6;2,171;3,5;1,2693;5,1;0,8756;6,2;1,033;2,7;2,0028;5,2;0,919;3,3;1,4944;4,9;1,5951;5,8;1,135;2,1;1,7288;http://library.artstor.org
10120;Bruegel the Elder, Pieter;1568;The Peasant Wedding (Bauernhochzeit);Renaissance and Mannerism;Scenes;2276;1600;1711;1200;h;1;3,41;1,52;4,05;1,0278;4,1;1,2729;4,4;1,399;2,342;2,1322;3,5;1,546;4,017;1,0167;4,317;1,0495;4,53;1,432;2,617;2,233;3,32;1,501;4,083;1,0462;3,883;1,4391;4,27;1,364;2,067;2,0073;http://library.artstor.org
10121;Bruegel the Elder, Pieter;1563;The Tower of Babel;Renaissance and Mannerism;Scenes;2148;1600;1602;1200;h;0;4,3;1,455;3,75;1,2513;4,9;1,2524;5,75;1,07;3,6;2,6238;4,4;1,647;3,8;1,0328;5,1;1,1972;6,1;0,876;3,6;2,5473;4,2;1,317;3,7;1,4944;4,7;1,3375;5,4;1,174;3,6;2,8363;http://library.artstor.org
10122;Brueghel the Elder, Jan;1597;Visit at the Leasehold Farm;Renaissance and Mannerism;Scenes;2181;1600;1636;1200;h;0;3,3;1,658;3,35;0,9881;4,7;1,0809;4,95;1,356;1,9;1,3727;4;2;3,3;1,0593;5;0,6667;5,1;1,449;1,8;1,1353;2,6;0,843;3,4;0,9661;4,4;1,3499;4,8;1,317;2;1,633;http://library.artstor.org
10123;Brueghel the Elder, Jan;1600;Aeneas and the Sibyl in Hades;Renaissance and Mannerism;Scenes;2346;1600;1760;1200;h;0;3,35;1,496;2,35;1,0894;5,4;0,7539;6,2;0,768;2,8;2,3306;3;1,247;2,1;0,8756;5,5;0,8498;6,3;0,823;2,9;2,3781;3,7;1,703;2,6;1,2649;5,3;0,6749;6,1;0,738;2,7;2,406;http://library.artstor.org
10124;Cranach the ELder, Lukas;1510;The Martyrdom of Saint Barbara;Renaissance and Mannerism;Scenes;1426;1600;1070;1200;v;0;3,6;1,501;2,6;1,2312;4,65;1,04;4,75;1,446;1,3;0,8013;3,91;1,446;2,636;1,3618;4,909;0,5394;4,82;1,25;1,545;1,0357;3,22;1,563;2,556;1,1304;4,333;1,4142;4,67;1,732;1;0;http://library.artstor.org
10125;Cranach the Elder, Lukas;1530;Paradise;Renaissance and Mannerism;Scenes;2253;1600;1682;1200;h;0;4,35;1,461;4,2;1,2814;4,05;1,0501;5,1;1,021;3,3;2,2965;4;1,414;3,8;1,2293;4;1,1547;4,9;1,287;3,8;2,044;4,7;1,494;4,6;1,2649;4,1;0,9944;5,3;0,675;2,8;2,5298;http://library.artstor.org
10126;Eyck van, Jan;1434;The Arnolfini Portrait (Arnolfini Hochzeit);Renaissance and Mannerism;Scenes;1056;1454;872;1200;v;0;3,45;1,191;3,8;0,9515;3,65;1,1821;4,75;1,682;3,15;2,5189;3,4;1,43;3,9;0,7379;3,3;1,3375;4,5;1,581;3,7;2,4518;3,5;0,972;3,7;1,1595;4;0,9428;5;1,826;2,6;2,5906; 
10127;Baldung, Hans Grien;1509-10;The Three Ages of Man and Death;Renaissance and Mannerism;Scenes;1070;1600;802;1200;v;0;3,45;1,791;2,65;0,8751;4,55;1,1459;4,85;1,04;2,25;2,0229;3,3;1,889;2,6;0,9661;4,5;1,1785;4,9;0,876;2,6;2,0656;3,6;1,776;2,7;0,8233;4,6;1,1738;4,8;1,229;1,9;2,0248; 
10128;Holbein the Younger, Hans;1533;Jean de Dinteville and Georges de Selve (The Ambassadors, Die Gesandten);Renaissance and Mannerism;Scenes;1597;1600;1200;1200;v;0;3,4;1,353;3,8;0,8335;3,55;1,1459;4,65;1,089;1,8;1,6092;3,3;1,16;3,5;0,7071;3,8;0,9189;4,5;1,08;2,3;2,0028;3,5;1,581;4,1;0,8756;3,3;1,3375;4,8;1,135;1,3;0,9487;http://library.artstor.org
10129;Patinir, Joachim;1515-24;Charon Crossing the Styx;Renaissance and Mannerism;Scenes;2953;1827;1920;1200;h;0;4,65;1,309;4;1,026;4,25;1,2513;4,8;1,322;1,8;1,5761;4,6;1,265;4,5;0,9718;4,2;1,6193;4,6;1,578;1,3;0,6749;4,7;1,418;3,5;0,8498;4,3;0,8233;5;1,054;2,3;2,0575;http://en.wikipedia.org/wiki/Landscape_with_Charon_Crossing_the_Styx
10130;School of Fontainbleau;1590s;Charon Crossing the Styx;Renaissance and Mannerism;Scenes;2156;1600;1608;1200;h;0;4;1,717;4,35;1,387;4,85;1,0894;3,85;1,137;1,55;1,3945;4,1;1,663;4,5;1,1785;4,6;0,8433;4,1;0,994;2;1,8856;3,9;1,853;4,2;1,6193;5,1;1,2867;3,6;1,265;1,1;0,3162;http://library.artstor.org
10131;Spranger, Bartholomeus;1580-85;Hercules, Dejaneira and the Dead Centaur Nessus;Renaissance and Mannerism;Scenes;1170;1600;879;1200;v;0;3,6;1,635;3,85;1,1821;4,6;1,1877;4,5;1,192;1,55;0,9445;2,9;1,853;3,9;1,4491;4,8;1,2293;4,4;0,966;1,6;0,9661;4,3;1,059;3,8;0,9189;4,4;1,1738;4,6;1,43;1,5;0,9718;http://library.arstor.org
10132;Bronzino, Agnolo;1520s;The Dead Christ between the Virgin and Mary Magdalene;Renaissance and Mannerism;Scenes;1370;1600;1028;1200;v;0;3,05;1,504;2,55;0,9445;3,85;1,04;4,05;1,05;2,35;1,927;2,9;1,449;2,7;0,6749;3,7;0,6749;4,1;0,738;2,5;2,0683;3,2;1,619;2,4;1,1738;4;1,3333;4;1,333;2,2;1,8738;http://library.arstor.org
10133;Carracci, Ludovico;1582;The Lamentation;Renaissance and Mannerism;Scenes;2600;1426;1920;1049;h;0;3;1,298;2,7;0,7327;4,3;1,2183;4,2;1,24;2,55;1,9861;2,8;1,398;2,5;0,8498;4,6;1,1738;4,2;1,549;3,1;1,912;3,2;1,229;2,9;0,5676;4;1,2472;4,2;0,919;2;2;http://library.arstor.org
10134;Crespi, Giovanni Battista (Cerano);1610-20;Christ and the Samaritan Woman (Cristo e la Samaritana al pozzo);Renaissance and Mannerism;Scenes;1123;1600;842;1200;v;0;3;1,622;3,5;0,9459;3,5;1,3572;3,75;1,118;1,5;1,3179;3;1,732;3,111;0,928;3;1,3229;3,56;1,424;1,333;1;3;1,612;3,818;0,8739;3,909;1,3003;3,91;0,831;1,636;1,5667;http://library.arstor.org
10135;El Greco;1570;Christ Driving the Money Changers from the Temple;Renaissance and Mannerism;Scenes;1958;1596;1484;1200;h;0;3,25;1,07;3,5;0,7609;4,4;0,9403;4,8;1,056;1,9;1,4832;2,9;0,738;3,4;0,9661;4,2;1,0328;4,8;1,398;2,1;1,6633;3,6;1,265;3,6;0,5164;4,6;0,8433;4,8;0,632;1,7;1,3375;http://wikimedia.org
10136;El Greco;1604-14;Laokoon;Renaissance and Mannerism;Scenes;2010;1600;1508;1200;h;0;3,85;1,461;2,9;1,1192;4,4;0,6806;5,25;0,967;1,75;1,5853;4,09;1,044;2,909;0,9439;4,364;0,6742;5,36;0,674;1,818;1,2505;3,56;1,878;2,889;1,3642;4,444;0,7265;5,11;1,269;1,667;2;http://wikimedia.org
10137;El Greco;1586;The Burial of the Count of Orgaz;Renaissance and Mannerism;Scenes;1306;1600;980;1200;v;0;3,4;1,759;2,7;1,2607;5;1,026;5,75;1,164;1,7;1,3416;3,3;1,767;2,6;1,075;5,2;0,6325;5,9;1,197;2,1;1,7288;3,5;1,841;2,8;1,4757;4,8;1,3166;5,6;1,174;1,3;0,6749; 
10138;Parmigianino;1503-1540;The Annunciation;Renaissance and Mannerism;Scenes;1117;1600;829;1200;v;1;3,33;1,462;3,6;1,1405;3,767;1,2281;4,8;1,127;1,7;1,2873;3,25;1,434;3,483;1,1716;3,75;0,9851;4,95;1,064;1,95;1,4073;3,4;1,498;3,717;1,1061;3,783;1,4391;4,65;1,176;1,45;1,1112;http://library.arstor.org
10139;Pontormo da, Jacopo;ca. 1530;Visitation;Renaissance and Mannerism;Scenes;1229;1596;924;1200;v;0;3,15;1,755;3,6;0,9403;3,3;1,4179;4,3;1,261;1,4;0,9947;3,22;1,716;3,778;0,6667;3,556;1,424;4,56;1,13;1,556;1,1304;3,09;1,868;3,455;1,1282;3,091;1,446;4,09;1,375;1,273;0,9045;http://library.arstor.org
10140;Tintoretto, Jacopo;1555-56;Susanna and the Elders;Renaissance and Mannerism;Scenes;2135;1600;1601;1200;h;0;3,7;0,923;3,85;0,8127;4,1;0,9119;5,2;1,24;1,55;1,2763;3,4;0,843;3,5;0,7071;3,8;0,6325;5,3;1,252;1,9;1,7288;4;0,943;4,2;0,7888;4,4;1,075;5,1;1,287;1,2;0,4216;http://library.arstor.org
10141;Tintoretto, Jacopo;1580-90;Tarquin and Lucretia;Renaissance and Mannerism;Scenes;1381;1600;1036;1200;v;0;3,6;1,353;3,45;0,9445;4,5;0,8885;4,4;1,314;1,7;1,0311;3,64;1,206;3,364;1,0269;4,182;0,8739;4,27;1,191;1,727;1,009;3,56;1,59;3,556;0,8819;4,889;0,7817;4,56;1,509;1,667;1,118;http://library.arstor.org
10142;Tintoretto, Jacopo;1591-94;Last Supper;Renaissance and Mannerism;Scenes;2505;1600;1879;1200;h;0;3,55;1,605;3,75;1,118;4,25;1,2085;5,25;1,251;2,05;1,5035;3;1,491;3,4;1,075;4,4;0,9661;5,4;1,174;2,1;1,2867;4,1;1,595;4,1;1,1005;4,1;1,4491;5,1;1,37;2;1,7638; 
10143;Correggio da, Antonio;1530;Holy Night (Adoration of the Shepherds);Renaissance and Mannerism;Scenes;1177;1600;862;1200;v;0;4,15;1,309;4,55;0,887;3,7;1,0311;4,8;1,399;2,25;2,2682;3,7;1,252;4,7;0,8233;3,8;1,0328;4,3;1,703;2,8;2,5734;4,6;1,265;4,4;0,9661;3,6;1,075;5,3;0,823;1,7;1,8886;http://library.artstor.org
10144;Tizian;1556-1559;Diana and Actaeon;Renaissance and Mannerism;Scenes;1751;1600;1313;1200;h;0;3,35;1,387;3,45;0,887;3,95;1,1459;4,2;1,152;2,05;1,4681;3,67;1,414;3,333;0,866;4,222;0,8333;4,67;1;2,222;1,7873;3,09;1,375;3,545;0,9342;3,727;1,3484;3,82;1,168;1,909;1,221;http://wikimedia.org
10145;Tizian;1544;Danaë;Renaissance and Mannerism;Scenes;2237;1600;1678;1200;h;0;3,85;1,496;4;1,214;4,05;1,2344;4,5;0,946;2,05;1,7006;4,18;1,601;4,182;1,0787;4,091;1,1362;4,55;0,934;2,636;1,9633;3,44;1,333;3,778;1,3944;4;1,4142;4,44;1,014;1,333;1;http://library.artstor.org
10201;Caravaggio da, Michelangelo Merisi;1597;Narcissus;Baroque and Rococo ;Scenes;1322;1600;981;1200;v;0;4,6;1,698;3,7;0,9787;3,35;1,4965;4,2;1,436;2,6;2,2337;4,22;1,563;3,667;1,118;3,111;1,5366;3,89;1,453;2;1,8028;4,91;1,814;3,727;0,9045;3,545;1,5076;4,45;1,44;3,091;2,5082;http://library.artstor.org
10202;Caravaggio da, Michelangelo Merisi;1599-1600;The Calling of Saint Matthew;Baroque and Rococo ;Scenes;1690;1600;1268;1200;h;0;4;1,556;3,65;0,9333;3,9;1,3338;4,6;1,353;2,5;1,9331;4,5;1,581;4;0,8165;4,6;1,3499;4,9;1,287;3,3;2,2632;3,5;1,434;3,3;0,9487;3,2;0,9189;4,3;1,418;1,7;1,1595;http://library.artstor.org
10203;Caravaggio da, Michelangelo Merisi;1601-02;David and Goliath;Baroque and Rococo ;Scenes;1330;1600;986;1200;v;0;3,45;1,504;2,25;1,0699;4,55;1,5381;4,2;1,24;1,9;1,3338;3,1;1,37;2,3;0,9487;4,3;1,567;3,6;1,075;2,1;1,4491;3,8;1,619;2,2;1,2293;4,8;1,5492;4,8;1,135;1,7;1,2517;http://library.artstor.org
10204;Caravaggio da, Michelangelo Merisi;around 1610;The Denial of Saint Peter;Baroque and Rococo ;Scenes;2180;1600;1635;1200;h;0;3,85;1,309;3,15;1,1821;4,95;0,9445;4,35;1,089;1,25;0,6387;4,2;1,398;3,2;0,6325;4,7;0,9487;4,2;0,919;1,3;0,6749;3,5;1,179;3,1;1,5951;5,2;0,9189;4,5;1,269;1,2;0,6325;http://library.artstor.org
10205;Gentileschi, Artemisia;1611-12;Judith Beheading Holofernes;Baroque and Rococo ;Scenes;1248;1600;936;1200;v;1;3,73;1,87;2,2;1,1711;5,583;0,8943;4,61;1,38;2,275;2,0496;3,48;1,873;2,133;1,2139;5,55;0,9099;4,55;1,371;2,617;2,2254;3,97;1,85;2,267;1,133;5,617;0,8847;4,67;1,398;1,933;1,8121;http://library.artstor.org
10206;Crespi, Giuseppe Maria;1695-1700;Centaur Chiron Teaches Young Achilles Archery;Baroque and Rococo ;Scenes;1578;1600;1176;1200;v;0;3,8;1,152;3,1;1,0712;4,75;1,2513;4,35;1,268;1,3;0,9234;3,3;1,059;2,7;0,9487;4,8;1,3984;4,5;1,509;1,5;1,2693;4,3;1,059;3,5;1,0801;4,7;1,1595;4,2;1,033;1,1;0,3162;http://library.artstor.org
10207;Il Morazzone/ Mazzucchelli, Pier Francesco;1610;Jacob Wrestling the Angel;Baroque and Rococo ;Scenes;1229;1600;911;1200;v;0;4,6;1,698;3,5;1,1002;4,25;1,2513;4,55;1,234;2,6;2,0105;4,36;1,502;3,455;1,0357;4,091;1,1362;4,64;0,924;2,818;1,8878;4,89;1,965;3,556;1,236;4,444;1,424;4,44;1,59;2,333;2,2361;http://library.artstor.org
10208;Il Rustichino/ Rustici, Francesco;1623-25;The Death of Lucretia;Baroque and Rococo ;Scenes;2356;1600;1774;1200;h;0;4,1;1,41;3,05;1,0501;4,2;1,1965;4,6;1,142;2;1,4868;3,5;1,269;2,8;1,1353;4,5;0,9718;4,5;1,269;2,5;1,5811;4,7;1,337;3,3;0,9487;3,9;1,3703;4,7;1,059;1,5;1,2693;http://library.artstor.org
10209;Honthorst van, Gerrit;1655;Susanna and the Elders;Baroque and Rococo ;Scenes;2156;1600;1622;1200;h;0;3,25;1,333;2,7;0,8645;4,75;0,7864;4,45;1,234;1,3;0,9234;2,9;1,449;2,4;0,8433;5;0,6667;4,5;1,179;1,5;1,2693;3,6;1,174;3;0,8165;4,5;0,8498;4,4;1,35;1,1;0,3162;http://library.artstor.org
10210;Rijn van, Rembrandt;1630;Belshazzar's Feast (Gastmahl des Belsazar);Baroque and Rococo ;Scenes;2010;1600;1480;1200;h;0;4,4;1,569;3,9;1,2524;5;0,9733;4,9;1,252;1,55;1,4318;5;1,333;4,1;1,1972;5,2;0,9189;5,1;1,101;1,9;1,912;3,8;1,619;3,7;1,3375;4,8;1,0328;4,7;1,418;1,2;0,6325;http://de.wikipedia.org/wiki/Datei:Rembrandt-Belsazar.jpg
10211;Rijn van, Rembrandt;1632;The Anatomy Lesson of Dr. Nicolaes Tulp;Baroque and Rococo ;Scenes;2105;1600;1579;1200;h;0;4,6;1,501;3,5;1,2354;4,85;0,9333;4,4;1,603;3,9;2,3598;4,67;1,323;3,222;1,3017;5;1;5;1,118;3,889;2,6667;4,55;1,695;3,727;1,1909;4,727;0,9045;3,91;1,814;3,909;2,2115;http://library.artstor.org
10212;Rijn van, Rembrandt;1635;Prodigal Son in the Tavern (Self Portrait with Saskia);Baroque and Rococo ;Scenes;1270;1600;952;1200;v;0;3,1;0,968;3,25;0,9665;4,35;0,8751;4,35;1,387;1,75;1,4464;3,2;1,033;3,1;1,1972;4,5;0,8498;4,6;1,35;1,8;1,4757;3;0,943;3,4;0,6992;4,2;0,9189;4,1;1,449;1,7;1,4944;http://library.artstor.org
10213;Rijn van, Rembrandt;1636;Danae;Baroque and Rococo ;Scenes;1754;1600;1297;1200;h;0;4,05;1,276;3,8;0,8944;3,5;1,3572;4,75;1,118;1,9;1,7442;4,33;1,118;3,778;0,6667;3,667;1;4,89;1,269;2;1,5811;3,82;1,401;3,818;1,0787;3,364;1,6293;4,64;1,027;1,818;1,94;http://library.artstor.org
10214;Rijn van, Rembrandt;1642;The Nightwatch (Die Nachtwache);Baroque and Rococo ;Scenes;1914;1600;1436;1200;h;0;4,45;1,395;4,05;0,887;4,65;1,2258;4,95;0,945;2,75;1,9967;3,9;1,287;3,7;0,9487;4,4;1,4298;4,9;0,994;2,8;2,0976;5;1,333;4,4;0,6992;4,9;0,9944;5;0,943;2,7;2,0028;http://commons.wikimedia.org/wiki/File:Rembrandt_van_Rijn-De_Nachtwacht-1642.jpg
10215;Tour de la, Georges;1644;The Newborn Child;Baroque and Rococo ;Scenes;1959;1600;1469;1200;h;0;3,15;1,424;3,95;1,3563;2,8;1,2397;3,25;1,118;1,25;0,6387;3,2;1,619;3,9;1,4491;3,2;1,0328;2,8;0,919;1,3;0,6749;3,1;1,287;4;1,3333;2,4;1,3499;3,7;1,16;1,2;0,6325;http://library.artstor.org
10216;Tour de la, Georges;1640-45;Penitent Magdalene;Baroque and Rococo ;Scenes;1168;1600;865;1200;v;0;4,9;1,483;3,1;0,9679;3,6;1,429;3,8;1,056;1,8;1,5761;4,91;1,758;3,273;1,1909;3,545;1,3685;3,91;1,044;1,818;1,2505;4,89;1,167;2,889;0,6009;3,667;1,5811;3,67;1,118;1,778;1,9861;http://library.artstor.org
10217;Brugghen ter, Hendrick;1623;David Praised by the Israelite Women;Baroque and Rococo ;Scenes;2086;1600;1562;1200;h;0;2,95;1,761;2,85;1,1821;4,7;0,8645;4,5;1;1,4;0,9947;2,5;1,65;2,4;1,075;4,9;0,7379;4,5;1,179;1,6;1,2649;3,4;1,838;3,3;1,1595;4,5;0,9718;4,5;0,85;1,2;0,6325;http://library.artstor.org
10218;Brugghen ter, Hendrick;1625;Saint Sebastian Tended by Irene;Baroque and Rococo ;Scenes;1270;1600;952;1200;v;0;3,6;1,501;2,25;0,8507;4,15;1,0894;4,6;1,429;2,2;1,7351;3,8;1,317;2,2;0,7888;4,6;0,6992;4,9;1,197;2,1;1,4491;3,4;1,713;2,3;0,9487;3,7;1,2517;4,3;1,636;2,3;2,0575;http://www.codart.nl/594/
10219;Rubens, Peter Paul;1609;Rubens and Isabella Brant, the Honeysuckle Bower;Baroque and Rococo ;Scenes;1210;1600;903;1200;v;0;4;1,376;4,3;0,9234;3,75;1,2085;5,05;0,945;1,9;1,7137;4,1;1,663;4,5;1,0801;3,7;1,3375;5;0,943;2,6;2,2211;3,9;1,101;4,1;0,7379;3,8;1,1353;5,1;0,994;1,2;0,4216;http://library.artstor.org
10220;Rubens, Peter Paul;1615-21;Wolf and Fox Hunt;Baroque and Rococo ;Scenes;2493;1600;1870;1200;h;0;3,5;1,701;2,75;1,2513;5,6;1,1877;5,45;0,887;2,2;1,7947;3,1;1,729;2,2;1,0328;5,8;1,0328;5,6;0,966;2,1;1,3703;3,9;1,663;3,3;1,2517;5,4;1,3499;5,3;0,823;2,3;2,2136;http://library.artstor.org
